Program ID,Country,University (Select from list),Campus (where aplicable),Department /Institute Name,Academic Degree Granted                      (Select from list),Program Name en Castellano,Program Name,Creation Year,Activo (si/no),Program Web Site
,Mexico,Instituto Politecnico Nacional   ,ESIME Culhuacan ,Estudios de Posgrado e Investigacion,Doctorado,,Doctorate in Communications and Electronics,1997,,http://www.posgrado.ipn.mx/documentos/tarjetas_PNPC/tarj36.pdf
,Mexico,Instituto Tecnologico Autonomo de Mexico ,,,Maestria,,Master in Information Technologies and Management,,,http://www.mtia.itam.mx/medios_digitales/
,Mexico,Instituto Tecnologico de Apizaco   ,,Division de Estudios de Posgrado e Investigacion,Maestria,,Master in Computer Systems,2007,,http://www.itapizaco.edu.mx/~posgrado/maestrias/MSC/introduccion1.php
,Mexico,Instituto Tecnologico de Ciudad Madero,,Sistemas y Computacion,Maestria,,Master of Science in Computer Science,2000,,http://www.itcm.edu.mx/mccc06/index.php
,Mexico,Instituto Tecnologico de Tijuana,,Sistemas y Computacion,Doctorado,,Doctorate in Computer Science,2000,,http://www.hafsamx.org/dcc/
,Mexico,Instituto Tecnologico de Toluca   ,,Division de Estudios de Posgrado e Investigacion,Maestria,,Master of Science in Computer Science,,,http://www.ittoluca.edu.mx/version9/index.php?option=com_content&view=article&id=129&Itemid=216
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Monterrey (MTY),Mecatronica y Tecnologias de Informacion,Maestria,,Master in Management of Information Technologies,,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/MTY2/Monterrey/Programas+educativos/Maestr_as/Mecatr_nica+y+Tecnolog_as+de+Informaci_n/MTI+Maestr_a+en+Administraci_n+de+Tecnolog_as+de+Informaci_n
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Monterrey,Mecatronica y Tecnologias de Informacion,Maestria,,Master of Science in Information Technology,1995,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/MTY2/Monterrey/Programas+educativos/Maestr_as/Mecatr_nica+y+Tecnolog_as+de+Informaci_n/MCT+Maestr_a+en+Ciencias+en+Tecnolog_a+Inform_tica
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Monterrey,Mecatronica y Tecnologias de Informacion,Maestria,,Master of Science with degree in Intelligent Systems,1984,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/MTY2/Monterrey/Programas+educativos/Maestr_as/Mecatr_nica+y+Tecnolog_as+de+Informaci_n/MIT+Maestr_a+en+Ciencias+con+especialidad+en+Sistemas+Inteligentes
,Mexico,Instituto Tecnologico y de Estudios Superiores de Monterrey,Monterrey,Mecatronica y Tecnologias de Informacion,Maestria,,Master of Science with degree in Electrical Engineering (Telecommunications),1990,,http://www.itesm.edu/wps/portal?WCM_GLOBAL_CONTEXT=/migration/MTY2/Monterrey/Programas+educativos/Maestr_as/Mecatr_nica+y+Tecnolog_as+de+Informaci_n/MSE-T+Maestr_a+en+Ciencias+con+especialidad+en+Ingenier_a+Electr_nica+%28Telecomunicaciones%29
